0.1, 1, 1, 0, 0, 0, 0, 0, 0
0.2, 1, 0.998835, -0.00425148, 0.04736, 0.00827121, -0.308133, 0.0074816, -0.0479886
0.3, 1, 0.995822, 0.00772164, 0.0893665, 0.0170937, -0.618618, 0.0127802, -0.0685801
0.4, 1, 0.990107, 0.022587, 0.135839, 0.0269358, -0.914363, 0.008645, -0.0438207
0.5, 1, 0.979544, 0.0258481, 0.195958, 0.0377715, -1.18245, -0.0111242, 0.0517333
0.6, 1, 0.96294, 0.0178595, 0.264855, 0.0477494, -1.41607, -0.0398741, 0.209121
0.7, 1, 0.940591, 0.00504491, 0.334945, 0.0554547, -1.6163, -0.0678971, 0.411498
0.8, 1, 0.913527, 0.00103496, 0.401297, 0.0665367, -1.7789, -0.111608, 0.655819
0.9, 1, 0.883999, 0.0146284, 0.45937, 0.0855054, -1.90421, -0.197278, 0.931957
1, 1, 0.857375, 0.0291378, 0.503722, 0.101606, -2.0233, -0.290053, 1.20733
1.1, 1, 0.838323, 0.0275544, 0.534206, 0.105261, -2.16809, -0.336083, 1.4706
