# t qw qx qy qz x y z vx vy vz p q r ax ay az
0.345 0.96679 0.0215196 0.0920851 -0.237434 -0.976744 0.892489 0.913005 -0.910211 -2.81669 -0.00155414 -0.172891 0.32403 0.91665 1.05732 2.36438 -0.0436731 
0.346 0.966885 0.0215166 0.0922521 -0.236979 -0.977654 0.889674 0.913003 -0.908203 -2.81507 -0.00180049 -0.173247 0.322965 0.918756 1.05361 2.37558 -0.0427683 
0.347 0.966981 0.0215134 0.0924187 -0.236523 -0.978561 0.886859 0.913002 -0.906194 -2.81343 -0.00204557 -0.173609 0.321862 0.920887 1.05011 2.38682 -0.0417424 
0.348 0.967077 0.02151 0.0925846 -0.236066 -0.979466 0.884047 0.912999 -0.904185 -2.81178 -0.00228928 -0.173977 0.320721 0.923044 1.04682 2.39809 -0.0405941 
0.349 0.967173 0.0215063 0.09275 -0.235607 -0.980369 0.881236 0.912997 -0.902175 -2.81011 -0.00253155 -0.174352 0.319543 0.925226 1.04373 2.4094 -0.0393223 
0.35 0.967269 0.0215024 0.0929149 -0.235148 -0.98127 0.878426 0.912994 -0.900163 -2.80843 -0.00277228 -0.174732 0.318328 0.927433 1.04086 2.42075 -0.0379257 
0.351 0.967365 0.0214983 0.0930791 -0.234687 -0.98217 0.875619 0.912991 -0.89815 -2.80674 -0.0030114 -0.175119 0.317075 0.929666 1.0382 2.43213 -0.0364031 
0.352 0.967462 0.021494 0.0932427 -0.234226 -0.983067 0.872813 0.912988 -0.896136 -2.80504 -0.0032488 -0.175513 0.315784 0.931924 1.03576 2.44356 -0.0347534 
0.353 0.967558 0.0214894 0.0934057 -0.233763 -0.983962 0.870009 0.912985 -0.894119 -2.80332 -0.00348441 -0.175913 0.314456 0.934208 1.03354 2.45502 -0.0329753 
0.354 0.967655 0.0214845 0.093568 -0.233298 -0.984855 0.867206 0.912981 -0.892101 -2.80159 -0.00371814 -0.17632 0.313091 0.936516 1.03153 2.46652 -0.0310676 
0.355 0.967751 0.0214794 0.0937296 -0.232833 -0.985746 0.864406 0.912977 -0.89008 -2.79985 -0.0039499 -0.176733 0.311688 0.93885 1.02975 2.47806 -0.029029 
0.356 0.967848 0.0214741 0.0938906 -0.232367 -0.986635 0.861607 0.912973 -0.888057 -2.79809 -0.00417959 -0.177154 0.310248 0.941209 1.0282 2.48965 -0.0268583 
0.357 0.967944 0.0214684 0.0940508 -0.231899 -0.987522 0.858809 0.912969 -0.886032 -2.79632 -0.00440714 -0.177581 0.30877 0.943593 1.02687 2.50127 -0.0245544 
0.358 0.968041 0.0214625 0.0942104 -0.23143 -0.988407 0.856014 0.912965 -0.884003 -2.79454 -0.00463244 -0.178016 0.307255 0.946003 1.02577 2.51293 -0.0221159 
0.359 0.968138 0.0214563 0.0943692 -0.23096 -0.98929 0.85322 0.91296 -0.881972 -2.79275 -0.00485541 -0.178457 0.305702 0.948437 1.0249 2.52463 -0.0195416 
0.36 0.968235 0.0214499 0.0945272 -0.230488 -0.990171 0.850429 0.912955 -0.879937 -2.79094 -0.00507596 -0.178906 0.304112 0.950897 1.02427 2.53638 -0.0168304 
0.361 0.968333 0.0214431 0.0946845 -0.230016 -0.99105 0.847638 0.91295 -0.877898 -2.78912 -0.00529399 -0.179363 0.302484 0.953382 1.02387 2.54816 -0.013981 
0.362 0.96843 0.021436 0.0948409 -0.229542 -0.991927 0.84485 0.912944 -0.875856 -2.78729 -0.0055094 -0.179826 0.300819 0.955892 1.02371 2.55999 -0.0109921 
0.363 0.968527 0.0214286 0.0949966 -0.229066 -0.992802 0.842064 0.912939 -0.87381 -2.78544 -0.00572212 -0.180298 0.299117 0.958427 1.02379 2.57186 -0.00786243 
0.364 0.968625 0.021421 0.0951514 -0.22859 -0.993675 0.839279 0.912933 -0.87176 -2.78359 -0.00593203 -0.180777 0.297377 0.960987 1.02411 2.58377 -0.00459086 
0.365 0.968723 0.021413 0.0953053 -0.228112 -0.994545 0.836497 0.912927 -0.869705 -2.78172 -0.00613906 -0.181264 0.2956 0.963572 1.02468 2.59573 -0.00117609 
0.366 0.96882 0.0214046 0.0954584 -0.227633 -0.995414 0.833716 0.912921 -0.867646 -2.77984 -0.0063431 -0.181759 0.293785 0.966182 1.0255 2.60773 0.00238313 
0.367 0.968918 0.021396 0.0956107 -0.227152 -0.996281 0.830937 0.912914 -0.865582 -2.77795 -0.00654405 -0.182262 0.291933 0.968817 1.02656 2.61977 0.00608805 
0.368 0.969016 0.021387 0.095762 -0.22667 -0.997145 0.82816 0.912908 -0.863512 -2.77604 -0.00674182 -0.182773 0.290043 0.971477 1.02788 2.63185 0.00993993 
0.369 0.969115 0.0213776 0.0959124 -0.226187 -0.998008 0.825385 0.912901 -0.861437 -2.77412 -0.00693632 -0.183292 0.288117 0.974162 1.02945 2.64398 0.01394 
0.37 0.969213 0.0213679 0.0960618 -0.225703 -0.998868 0.822612 0.912894 -0.859357 -2.77219 -0.00712744 -0.18382 0.286152 0.976871 1.03127 2.65615 0.0180896 
0.371 0.969312 0.0213579 0.0962103 -0.225217 -0.999726 0.819841 0.912886 -0.857271 -2.77025 -0.00731509 -0.184356 0.284151 0.979606 1.03336 2.66837 0.0223899 
0.372 0.96941 0.0213475 0.0963578 -0.224729 -1.00058 0.817071 0.912879 -0.855178 -2.7683 -0.00749916 -0.184901 0.282112 0.982365 1.03571 2.68063 0.0268422 
0.373 0.969509 0.0213367 0.0965044 -0.22424 -1.00144 0.814304 0.912871 -0.853079 -2.76634 -0.00767956 -0.185454 0.280036 0.985149 1.03831 2.69294 0.0314479 
0.374 0.969608 0.0213255 0.0966499 -0.22375 -1.00229 0.811539 0.912864 -0.850974 -2.76436 -0.00785619 -0.186016 0.277922 0.987958 1.04119 2.70529 0.0362081 
0.375 0.969707 0.021314 0.0967944 -0.223259 -1.00314 0.808775 0.912856 -0.848861 -2.76238 -0.00802895 -0.186588 0.275772 0.990792 1.04433 2.71769 0.0411241 
0.376 0.969807 0.0213021 0.0969378 -0.222766 -1.00399 0.806014 0.912848 -0.846742 -2.76038 -0.00819774 -0.187168 0.273583 0.99365 1.04774 2.73014 0.0461973 
0.377 0.969906 0.0212898 0.0970802 -0.222271 -1.00483 0.803255 0.912839 -0.844615 -2.75837 -0.00836245 -0.187758 0.271358 0.996533 1.05143 2.74263 0.0514288 
0.378 0.970006 0.021277 0.0972215 -0.221775 -1.00568 0.800497 0.912831 -0.84248 -2.75634 -0.00852298 -0.188357 0.269095 0.999441 1.05539 2.75517 0.0568201 
0.379 0.970106 0.0212639 0.0973618 -0.221277 -1.00652 0.797742 0.912822 -0.840337 -2.75431 -0.00867922 -0.188965 0.266795 1.00237 1.05962 2.76775 0.0623724 
0.38 0.970206 0.0212503 0.0975009 -0.220778 -1.00736 0.794989 0.912814 -0.838187 -2.75227 -0.00883109 -0.189583 0.264458 1.00533 1.06414 2.78038 0.068087 
0.381 0.970306 0.0212364 0.0976388 -0.220278 -1.00819 0.792237 0.912805 -0.836027 -2.75021 -0.00897846 -0.190211 0.262084 1.00831 1.06894 2.79306 0.0739653 
0.382 0.970406 0.021222 0.0977756 -0.219776 -1.00903 0.789488 0.912796 -0.833859 -2.74815 -0.00912124 -0.190849 0.259672 1.01132 1.07402 2.80579 0.0800084 
0.383 0.970507 0.0212071 0.0979113 -0.219272 -1.00986 0.786741 0.912786 -0.831682 -2.74607 -0.00925931 -0.191496 0.257223 1.01435 1.07939 2.81856 0.0862178 
0.384 0.970607 0.0211918 0.0980457 -0.218767 -1.01069 0.783996 0.912777 -0.829495 -2.74398 -0.00939258 -0.192154 0.254737 1.0174 1.08505 2.83138 0.0925948 
0.385 0.970708 0.0211761 0.098179 -0.218261 -1.01152 0.781253 0.912768 -0.827299 -2.74188 -0.00952093 -0.192822 0.252213 1.02048 1.09099 2.84425 0.0991407 
0.386 0.970809 0.0211599 0.098311 -0.217752 -1.01235 0.778512 0.912758 -0.825093 -2.73977 -0.00964426 -0.1935 0.249653 1.02359 1.09724 2.85717 0.105857 
0.387 0.970911 0.0211432 0.0984418 -0.217243 -1.01317 0.775774 0.912748 -0.822877 -2.73765 -0.00976246 -0.194189 0.247055 1.02672 1.10378 2.87014 0.112744 
0.388 0.971012 0.0211261 0.0985714 -0.216731 -1.01399 0.773037 0.912738 -0.82065 -2.73552 -0.00987542 -0.194889 0.24442 1.02987 1.11061 2.88315 0.119805 
0.389 0.971114 0.0211085 0.0986997 -0.216218 -1.01481 0.770303 0.912729 -0.818413 -2.73338 -0.00998303 -0.195599 0.241748 1.03305 1.11775 2.89622 0.12704 
0.39 0.971216 0.0210904 0.0988266 -0.215704 -1.01563 0.76757 0.912719 -0.816164 -2.73122 -0.0100852 -0.19632 0.239039 1.03625 1.12519 2.90933 0.13445 
0.391 0.971318 0.0210718 0.0989523 -0.215187 -1.01644 0.76484 0.912708 -0.813904 -2.72906 -0.0101818 -0.197053 0.236293 1.03947 1.13294 2.92249 0.142038 
0.392 0.97142 0.0210527 0.0990766 -0.21467 -1.01726 0.762112 0.912698 -0.811633 -2.72689 -0.0102727 -0.197796 0.23351 1.04272 1.14099 2.93571 0.149803 
0.393 0.971523 0.0210331 0.0991996 -0.21415 -1.01807 0.759386 0.912688 -0.809349 -2.7247 -0.0103578 -0.198551 0.23069 1.046 1.14936 2.94897 0.157749 
0.394 0.971626 0.0210129 0.0993213 -0.213629 -1.01888 0.756663 0.912677 -0.807053 -2.72251 -0.0104369 -0.199318 0.227832 1.0493 1.15804 2.96228 0.165875 
0.395 0.971729 0.0209923 0.0994415 -0.213106 -1.01968 0.753941 0.912667 -0.804745 -2.7203 -0.0105101 -0.200096 0.224938 1.05262 1.16703 2.97564 0.174184 
0.396 0.971832 0.0209711 0.0995604 -0.212581 -1.02048 0.751222 0.912656 -0.802423 -2.71809 -0.0105771 -0.200886 0.222006 1.05597 1.17635 2.98906 0.182677 
0.397 0.971935 0.0209494 0.0996778 -0.212055 -1.02129 0.748505 0.912646 -0.800089 -2.71586 -0.0106379 -0.201688 0.219038 1.05934 1.18598 3.00252 0.191355 
0.398 0.972039 0.0209271 0.0997939 -0.211527 -1.02209 0.74579 0.912635 -0.797741 -2.71363 -0.0106923 -0.202502 0.216033 1.06273 1.19594 3.01603 0.20022 
0.399 0.972143 0.0209043 0.0999084 -0.210997 -1.02288 0.743078 0.912624 -0.795379 -2.71138 -0.0107402 -0.203328 0.21299 1.06615 1.20622 3.0296 0.209273 
0.4 0.972247 0.0208809 0.100022 -0.210466 -1.02368 0.740368 0.912614 -0.793002 -2.70913 -0.0107815 -0.204166 0.209911 1.0696 1.21683 3.04322 0.218515 
0.401 0.972351 0.020857 0.100133 -0.209932 -1.02447 0.73766 0.912603 -0.790615 -2.70688 -0.0108188 -0.205009 0.206817 1.07304 1.23378 3.03237 0.223627 
0.402 0.972456 0.0208324 0.100243 -0.209398 -1.02526 0.734954 0.912592 -0.788217 -2.70464 -0.0108547 -0.205847 0.203731 1.07647 1.2508 3.02154 0.228751 
0.403 0.97256 0.0208073 0.100352 -0.208861 -1.02604 0.73225 0.912581 -0.785811 -2.70241 -0.0108893 -0.20668 0.200654 1.07989 1.26788 3.01073 0.233888 
0.404 0.972665 0.0207817 0.100459 -0.208322 -1.02683 0.729549 0.91257 -0.783395 -2.70021 -0.0109225 -0.207508 0.197584 1.08329 1.28502 2.99993 0.239038 
0.405 0.972771 0.0207555 0.100565 -0.207782 -1.02761 0.72685 0.912559 -0.78097 -2.69801 -0.0109544 -0.208332 0.194522 1.08667 1.30222 2.98914 0.244198 
0.406 0.972876 0.0207287 0.100669 -0.20724 -1.02839 0.724153 0.912548 -0.778535 -2.69583 -0.0109849 -0.209151 0.191469 1.09004 1.31947 2.97837 0.24937 
0.407 0.972981 0.0207014 0.100772 -0.206697 -1.02917 0.721458 0.912537 -0.776091 -2.69367 -0.011014 -0.209966 0.188423 1.09339 1.33678 2.96761 0.254551 
0.408 0.973087 0.0206736 0.100873 -0.206151 -1.02994 0.718766 0.912526 -0.773637 -2.69151 -0.0110419 -0.210776 0.185386 1.09673 1.35413 2.95686 0.259743 
0.409 0.973193 0.0206452 0.100973 -0.205604 -1.03072 0.716075 0.912515 -0.771173 -2.68938 -0.0110684 -0.211582 0.182356 1.10005 1.37153 2.94612 0.264942 
0.41 0.973299 0.0206162 0.101071 -0.205056 -1.03149 0.713387 0.912504 -0.7687 -2.68725 -0.0110935 -0.212383 0.179335 1.10336 1.38897 2.93539 0.270151 
0.411 0.973406 0.0205868 0.101168 -0.204505 -1.03225 0.710701 0.912493 -0.766216 -2.68515 -0.0111173 -0.21318 0.176322 1.10665 1.40646 2.92467 0.275366 
0.412 0.973512 0.0205567 0.101264 -0.203953 -1.03302 0.708017 0.912482 -0.763722 -2.68305 -0.0111398 -0.213972 0.173316 1.10992 1.42398 2.91396 0.280589 
0.413 0.973619 0.0205262 0.101358 -0.2034 -1.03378 0.705335 0.912471 -0.761219 -2.68097 -0.011161 -0.21476 0.170319 1.11318 1.44153 2.90326 0.285818 
0.414 0.973726 0.0204951 0.101451 -0.202844 -1.03454 0.702655 0.91246 -0.758705 -2.67891 -0.0111809 -0.215543 0.16733 1.11642 1.45912 2.89256 0.291053 
0.415 0.973833 0.0204635 0.101542 -0.202287 -1.0353 0.699977 0.912448 -0.756181 -2.67686 -0.0111994 -0.216322 0.164349 1.11965 1.47674 2.88188 0.296292 
0.416 0.97394 0.0204314 0.101631 -0.201729 -1.03605 0.697301 0.912437 -0.753647 -2.67482 -0.0112166 -0.217097 0.161376 1.12286 1.49439 2.87119 0.301537 
0.417 0.974047 0.0203988 0.10172 -0.201168 -1.0368 0.694627 0.912426 -0.751103 -2.6728 -0.0112325 -0.217867 0.158411 1.12605 1.51206 2.86052 0.306784 
0.418 0.974155 0.0203656 0.101807 -0.200606 -1.03755 0.691955 0.912415 -0.748548 -2.67079 -0.0112471 -0.218633 0.155455 1.12923 1.52975 2.84984 0.312035 
0.419 0.974263 0.0203319 0.101892 -0.200043 -1.0383 0.689286 0.912404 -0.745983 -2.66879 -0.0112604 -0.219395 0.152506 1.13239 1.54747 2.83918 0.317289 
0.42 0.97437 0.0202977 0.101976 -0.199478 -1.03905 0.686618 0.912392 -0.743407 -2.66681 -0.0112724 -0.220152 0.149566 1.13554 1.5652 2.82851 0.322544 
0.421 0.974478 0.0202631 0.102059 -0.198911 -1.03979 0.683952 0.912381 -0.740821 -2.66485 -0.0112831 -0.220905 0.146633 1.13867 1.58294 2.81785 0.327801 
0.422 0.974586 0.0202279 0.10214 -0.198342 -1.04053 0.681288 0.91237 -0.738225 -2.6629 -0.0112925 -0.221654 0.143709 1.14179 1.6007 2.80719 0.333058 
0.423 0.974695 0.0201922 0.10222 -0.197773 -1.04127 0.678626 0.912358 -0.735618 -2.66096 -0.0113006 -0.222398 0.140793 1.14489 1.61846 2.79654 0.338315 
0.424 0.974803 0.020156 0.102298 -0.197201 -1.042 0.675966 0.912347 -0.733 -2.65903 -0.0113074 -0.223138 0.137885 1.14797 1.63624 2.78588 0.343572 
0.425 0.974911 0.0201193 0.102375 -0.196628 -1.04273 0.673308 0.912336 -0.730371 -2.65712 -0.0113129 -0.223874 0.134986 1.15104 1.65401 2.77522 0.348827 
0.426 0.97502 0.0200821 0.10245 -0.196053 -1.04346 0.670652 0.912324 -0.727732 -2.65523 -0.0113172 -0.224606 0.132094 1.15409 1.67179 2.76457 0.35408 
0.427 0.975129 0.0200444 0.102524 -0.195477 -1.04419 0.667998 0.912313 -0.725083 -2.65334 -0.0113201 -0.225333 0.129211 1.15713 1.68957 2.75391 0.35933 
0.428 0.975237 0.0200062 0.102597 -0.194899 -1.04491 0.665345 0.912302 -0.722422 -2.65147 -0.0113218 -0.226057 0.126336 1.16015 1.70735 2.74325 0.364577 
0.429 0.975346 0.0199676 0.102669 -0.19432 -1.04563 0.662695 0.91229 -0.719751 -2.64962 -0.0113222 -0.226775 0.123469 1.16315 1.72512 2.7326 0.36982 
0.43 0.975455 0.0199285 0.102738 -0.193739 -1.04635 0.660046 0.912279 -0.717069 -2.64778 -0.0113213 -0.22749 0.12061 1.16614 1.74288 2.72193 0.375059 
0.431 0.975564 0.0198889 0.102807 -0.193157 -1.04707 0.657399 0.912268 -0.714376 -2.64595 -0.0113191 -0.228201 0.117759 1.16911 1.76064 2.71127 0.380293 
0.432 0.975673 0.0198488 0.102874 -0.192573 -1.04778 0.654754 0.912257 -0.711672 -2.64414 -0.0113157 -0.228907 0.114917 1.17207 1.77838 2.7006 0.38552 
0.433 0.975783 0.0198082 0.10294 -0.191987 -1.04849 0.652111 0.912245 -0.708957 -2.64234 -0.011311 -0.229609 0.112083 1.17501 1.7961 2.68993 0.390741 
0.434 0.975892 0.0197672 0.103004 -0.1914 -1.0492 0.649469 0.912234 -0.706232 -2.64055 -0.011305 -0.230307 0.109257 1.17794 1.81381 2.67925 0.395955 
0.435 0.976001 0.0197257 0.103067 -0.190812 -1.0499 0.64683 0.912223 -0.703496 -2.63878 -0.0112978 -0.231 0.106439 1.18085 1.8315 2.66857 0.401161 
0.436 0.976111 0.0196838 0.103129 -0.190222 -1.0506 0.644192 0.912211 -0.700749 -2.63702 -0.0112893 -0.23169 0.10363 1.18374 1.84917 2.65788 0.406359 
0.437 0.976221 0.0196414 0.103189 -0.18963 -1.0513 0.641556 0.9122 -0.697991 -2.63527 -0.0112796 -0.232375 0.100829 1.18662 1.86682 2.64719 0.411548 
0.438 0.97633 0.0195985 0.103248 -0.189037 -1.052 0.638921 0.912189 -0.695222 -2.63354 -0.0112686 -0.233056 0.0980358 1.18948 1.88444 2.63648 0.416726 
0.439 0.97644 0.0195552 0.103306 -0.188443 -1.05269 0.636289 0.912177 -0.692442 -2.63182 -0.0112564 -0.233732 0.095251 1.19233 1.90203 2.62578 0.421895 
0.44 0.97655 0.0195114 0.103362 -0.187847 -1.05338 0.633658 0.912166 -0.689651 -2.63011 -0.0112429 -0.234405 0.0924746 1.19516 1.91959 2.61506 0.427052 
0.441 0.976659 0.0194672 0.103417 -0.18725 -1.05407 0.631028 0.912155 -0.68685 -2.62842 -0.0112281 -0.235073 0.0897064 1.19797 1.93711 2.60434 0.432197 
0.442 0.976769 0.0194225 0.10347 -0.186651 -1.05476 0.628401 0.912144 -0.684037 -2.62674 -0.0112121 -0.235737 0.0869465 1.20077 1.95461 2.5936 0.43733 
0.443 0.976879 0.0193774 0.103522 -0.186051 -1.05544 0.625775 0.912133 -0.681214 -2.62508 -0.0111949 -0.236396 0.0841949 1.20355 1.97206 2.58286 0.44245 
0.444 0.976989 0.0193318 0.103573 -0.185449 -1.05612 0.623151 0.912121 -0.678379 -2.62342 -0.0111765 -0.237052 0.0814516 1.20632 1.98948 2.57211 0.447556 
0.445 0.977099 0.0192858 0.103623 -0.184846 -1.0568 0.620528 0.91211 -0.675534 -2.62178 -0.0111568 -0.237703 0.0787165 1.20907 2.00685 2.56135 0.452648 
0.446 0.977209 0.0192394 0.103671 -0.184242 -1.05747 0.617907 0.912099 -0.672678 -2.62016 -0.0111359 -0.23835 0.0759898 1.21181 2.02418 2.55057 0.457725 
0.447 0.977319 0.0191925 0.103717 -0.183636 -1.05814 0.615288 0.912088 -0.669812 -2.61854 -0.0111137 -0.238992 0.0732713 1.21453 2.04147 2.53979 0.462785 
0.448 0.977429 0.0191453 0.103763 -0.183029 -1.05881 0.61267 0.912077 -0.666934 -2.61694 -0.0110903 -0.239631 0.0705612 1.21723 2.0587 2.529 0.46783 
0.449 0.977539 0.0190975 0.103807 -0.18242 -1.05948 0.610054 0.912066 -0.664046 -2.61536 -0.0110657 -0.240265 0.0678593 1.21992 2.07589 2.51819 0.472857 
0.45 0.977649 0.0190494 0.10385 -0.18181 -1.06014 0.607439 0.912055 -0.661147 -2.61378 -0.0110399 -0.240894 0.0651658 1.22259 2.09303 2.50737 0.477866 
0.451 0.977759 0.0190009 0.103891 -0.181198 -1.0608 0.604826 0.912044 -0.658237 -2.61222 -0.0110129 -0.24152 0.0624807 1.22525 2.11011 2.49654 0.482857 
0.452 0.977869 0.0189519 0.103931 -0.180586 -1.06146 0.602215 0.912033 -0.655316 -2.61067 -0.0109847 -0.242141 0.0598038 1.22789 2.12713 2.48569 0.487829 
0.453 0.977979 0.0189025 0.10397 -0.179971 -1.06211 0.599605 0.912022 -0.652385 -2.60914 -0.0109552 -0.242758 0.0571353 1.23051 2.1441 2.47483 0.492781 
0.454 0.978089 0.0188527 0.104008 -0.179356 -1.06276 0.596996 0.912011 -0.649443 -2.60761 -0.0109246 -0.24337 0.0544752 1.23312 2.16101 2.46396 0.497712 
0.455 0.978199 0.0188025 0.104044 -0.178739 -1.06341 0.59439 0.912 -0.64649 -2.6061 -0.0108927 -0.243978 0.0518234 1.23571 2.17785 2.45307 0.502622 
0.456 0.978309 0.0187519 0.104079 -0.178121 -1.06405 0.591784 0.911989 -0.643527 -2.6046 -0.0108597 -0.244581 0.0491799 1.23829 2.19463 2.44217 0.50751 
0.457 0.978419 0.0187008 0.104112 -0.177501 -1.0647 0.58918 0.911978 -0.640553 -2.60312 -0.0108255 -0.24518 0.0465448 1.24085 2.21135 2.43125 0.512376 
0.458 0.978529 0.0186494 0.104145 -0.17688 -1.06533 0.586578 0.911967 -0.637569 -2.60164 -0.0107901 -0.245775 0.0439181 1.2434 2.228 2.42032 0.517218 
0.459 0.978639 0.0185976 0.104176 -0.176258 -1.06597 0.583977 0.911957 -0.634575 -2.60018 -0.0107535 -0.246365 0.0412997 1.24593 2.24457 2.40937 0.522036 
0.46 0.978749 0.0185454 0.104205 -0.175634 -1.0666 0.581378 0.911946 -0.631569 -2.59874 -0.0107157 -0.246951 0.0386897 1.24844 2.26108 2.39841 0.526829 
0.461 0.978859 0.0184928 0.104234 -0.17501 -1.06723 0.57878 0.911935 -0.628554 -2.5973 -0.0106768 -0.247533 0.0360881 1.25094 2.27751 2.38742 0.531597 
0.462 0.978969 0.0184398 0.104261 -0.174383 -1.06786 0.576183 0.911924 -0.625528 -2.59588 -0.0106367 -0.248109 0.0334949 1.25342 2.29387 2.37643 0.536339 
0.463 0.979079 0.0183864 0.104287 -0.173756 -1.06848 0.573588 0.911914 -0.622492 -2.59447 -0.0105954 -0.248682 0.0309101 1.25589 2.31015 2.36541 0.541054 
0.464 0.979188 0.0183327 0.104311 -0.173127 -1.06911 0.570994 0.911903 -0.619445 -2.59307 -0.010553 -0.24925 0.0283336 1.25834 2.32635 2.35438 0.545742 
0.465 0.979298 0.0182785 0.104334 -0.172497 -1.06972 0.568402 0.911893 -0.616389 -2.59168 -0.0105094 -0.249813 0.0257656 1.26077 2.34247 2.34333 0.550401 
0.466 0.979408 0.018224 0.104356 -0.171866 -1.07034 0.565811 0.911882 -0.613322 -2.59031 -0.0104647 -0.250371 0.0232059 1.26319 2.3585 2.33226 0.555031 
0.467 0.979517 0.0181691 0.104377 -0.171234 -1.07095 0.563221 0.911872 -0.610245 -2.58895 -0.0104188 -0.250925 0.0206547 1.2656 2.37445 2.32117 0.559632 
0.468 0.979627 0.0181139 0.104397 -0.1706 -1.07156 0.560633 0.911861 -0.607158 -2.5876 -0.0103719 -0.251475 0.0181119 1.26799 2.39032 2.31007 0.564202 
0.469 0.979736 0.0180582 0.104415 -0.169965 -1.07216 0.558046 0.911851 -0.604061 -2.58626 -0.0103237 -0.25202 0.0155774 1.27036 2.4061 2.29894 0.568741 
0.47 0.979846 0.0180022 0.104432 -0.169329 -1.07277 0.55546 0.911841 -0.600955 -2.58493 -0.0102745 -0.25256 0.0130514 1.27272 2.42179 2.2878 0.573249 
0.471 0.979955 0.0179459 0.104447 -0.168691 -1.07337 0.552876 0.911831 -0.597838 -2.58362 -0.0102242 -0.253095 0.0105339 1.27506 2.43738 2.27664 0.577724 
0.472 0.980064 0.0178892 0.104462 -0.168053 -1.07396 0.550293 0.91182 -0.594712 -2.58231 -0.0101728 -0.253626 0.00802472 1.27738 2.45288 2.26545 0.582165 
0.473 0.980173 0.0178321 0.104475 -0.167413 -1.07456 0.547711 0.91181 -0.591576 -2.58102 -0.0101202 -0.254152 0.00552399 1.27969 2.46829 2.25425 0.586573 
0.474 0.980282 0.0177747 0.104487 -0.166772 -1.07515 0.545131 0.9118 -0.58843 -2.57975 -0.0100666 -0.254673 0.00303169 1.28198 2.4836 2.24303 0.590946 
0.475 0.980391 0.0177169 0.104498 -0.166129 -1.07573 0.542552 0.91179 -0.585275 -2.57848 -0.0100119 -0.25519 0.000547823 1.28426 2.49882 2.23178 0.595284 
0.476 0.9805 0.0176588 0.104507 -0.165486 -1.07632 0.539974 0.91178 -0.58211 -2.57722 -0.00995612 -0.255701 -0.00192761 1.28652 2.51393 2.22052 0.599585 
0.477 0.980609 0.0176003 0.104515 -0.164841 -1.0769 0.537397 0.91177 -0.578936 -2.57598 -0.00989928 -0.256208 -0.0043946 1.28877 2.52894 2.20924 0.60385 
0.478 0.980718 0.0175415 0.104523 -0.164195 -1.07747 0.534822 0.91176 -0.575752 -2.57475 -0.00984139 -0.25671 -0.00685315 1.291 2.54385 2.19793 0.608077 
0.479 0.980826 0.0174824 0.104528 -0.163548 -1.07805 0.532248 0.91175 -0.572559 -2.57353 -0.00978245 -0.257207 -0.00930326 1.29322 2.55866 2.1866 0.612266 
0.48 0.980935 0.0174229 0.104533 -0.1629 -1.07862 0.529675 0.911741 -0.569357 -2.57232 -0.00972247 -0.2577 -0.0117449 1.29542 2.57335 2.17525 0.616416 
0.481 0.981043 0.0173631 0.104536 -0.162251 -1.07919 0.527103 0.911731 -0.566146 -2.57112 -0.00966147 -0.258187 -0.0141781 1.2976 2.58794 2.16388 0.620526 
0.482 0.981151 0.017303 0.104538 -0.161601 -1.07975 0.524533 0.911721 -0.562926 -2.56993 -0.00959945 -0.258669 -0.0166029 1.29977 2.60242 2.15249 0.624595 
0.483 0.981259 0.0172425 0.104539 -0.160949 -1.08031 0.521963 0.911712 -0.559697 -2.56876 -0.00953642 -0.259146 -0.0190192 1.30192 2.61679 2.14108 0.628623 
0.484 0.981367 0.0171817 0.104539 -0.160296 -1.08087 0.519395 0.911702 -0.556459 -2.5676 -0.0094724 -0.259618 -0.0214271 1.30406 2.63105 2.12964 0.632609 
0.485 0.981475 0.0171206 0.104537 -0.159642 -1.08143 0.516828 0.911693 -0.553212 -2.56644 -0.00940739 -0.260086 -0.0238265 1.30618 2.64519 2.11819 0.636553 
0.486 0.981583 0.0170592 0.104535 -0.158987 -1.08198 0.514262 0.911684 -0.549957 -2.5653 -0.00934141 -0.260548 -0.0262175 1.30829 2.65922 2.10671 0.640453 
0.487 0.98169 0.0169975 0.104531 -0.158331 -1.08253 0.511698 0.911674 -0.546693 -2.56417 -0.00927447 -0.261005 -0.0286 1.31038 2.67313 2.0952 0.644309 
0.488 0.981798 0.0169354 0.104526 -0.157674 -1.08307 0.509134 0.911665 -0.543421 -2.56305 -0.00920657 -0.261457 -0.030974 1.31245 2.68692 2.08368 0.64812 
0.489 0.981905 0.0168731 0.104519 -0.157016 -1.08361 0.506572 0.911656 -0.54014 -2.56194 -0.00913774 -0.261903 -0.0333396 1.31451 2.7006 2.07213 0.651885 
0.49 0.982012 0.0168104 0.104512 -0.156357 -1.08415 0.50401 0.911647 -0.536851 -2.56085 -0.00906798 -0.262345 -0.0356967 1.31655 2.71415 2.06056 0.655604 
0.491 0.982119 0.0167474 0.104503 -0.155696 -1.08469 0.50145 0.911638 -0.533553 -2.55976 -0.00899731 -0.262781 -0.0380454 1.31858 2.72758 2.04897 0.659276 
0.492 0.982226 0.0166842 0.104493 -0.155035 -1.08522 0.498891 0.911629 -0.530248 -2.55869 -0.00892575 -0.263212 -0.0403856 1.32059 2.74088 2.03735 0.6629 
